text,intent,lang
Me pueden asesorar pa constituir una EIRL en Santiago?,constituir_empresa,es
o loratadina serve para dor de cabeca?,consultar_medicina,pt
Deseo comprar dos boletos a Piura 🍕,comprar_vuelo,es
Deseo presentar una queja formal por mi pedido ✈️,reclamo,es
how much is a gynecology consultation?,agendar_cita_medica,en
Quiero formalizar mi negocio y sacar RUC para mi negocio hola ✈️,constituir_empresa,es
me consigues un pasaje a ima para manana?,comprar_vuelo,es
cuando llega mi pedido de la laptop?,seguimiento_pedido,es
Tienen habitaciones disponibles en Medellin para el finde? porfa,reservar_hotel,es
quiero pedir una pizza americana,comprar_pizza,es
Me consigues un pasaje a Lima pa manana?,comprar_vuelo,es
bao noite,saludo,pt
I want to track my order number 4821,seguimiento_pedido,en
"meu pacote ainda nao chegou, onde esta?",seguimiento_pedido,pt
"i want to file a complaint, the headphones arrived damaged",reclamo,en
"Hla, buenas noches",saludo,es
"thanks for the help, bye",despedida,en
when does my the tv order arrive?,seguimiento_pedido,en
el sistema me da eror al cargar la pagina por favor,soporte_tecnico,es
Tem quartos disponiveis em Sao Paulo no fim de semana?,reservar_hotel,pt
Que documentos piden para constituir una empresa de servicios?,constituir_empresa,es
how much does it cost 2 create a company?,constituir_empresa,en
quiero comprar una pizza americana ahora,comprar_pizza,es
Hey ohla,saludo,es
no puedo transferir dinero desde mi cuenta por favor,consulta_banca,es
"me antojo una pepperoni, tienen promo?",comprar_pizza,es
haganme delivery de una pizza americana porfa,comprar_pizza,es
"Buenas, un gusto saludarlos",saludo,es
tem pizza margherita? quero pedir uma,comprar_pizza,pt
Preciso do status do meu envio,seguimiento_pedido,pt
me consigues un pasaje a cusco para manana?,comprar_vuelo,es
"Buenas, hay alguiien?",saludo,es
Mi cuenta esta bloqueada ❤️,soporte_tecnico,es
"mi paquete aun no llega, donnde esta? ✈️",seguimiento_pedido,es
How much is a double room in Panama City?,reservar_hotel,en
"quisiera abrir una sac, por donde empiezo?",constituir_empresa,es
"Saludos, buenos dias a todos gracias",saludo,es
hello there,saludo,en
"quiero un reembolso, la impresora vino deefectuoso 😀",reclamo,es
"Estou muito irritado, o servico foi pessimo",reclamo,pt
ya pague pero no see cuando llega mi pedido ✈️,seguimiento_pedido,es
Hola que tal por afvor,saludo,es
"pesimo servicio, quiero hablar con un supervisor",reclamo,es
